epoch,step,train/corr_offdiag_abs_max,train/corr_offdiag_abs_mean,train/diffusion,train/drift_abs,train/entropy_beta,train/loss_balance_term_epoch,train/loss_balance_term_step,train/loss_entropy_term_epoch,train/loss_entropy_term_step,train/loss_epoch,train/loss_sde_epoch,train/loss_sde_step,train/loss_step,train/mean_pi_var,train/pi_mean_e0,train/pi_mean_e1,train/pi_mean_e2,train/pi_min_mean,train/pi_var_e0,train/pi_var_e1,train/pi_var_e2,val/diffusion,val/drift_abs,val/entropy_beta,val/loss,val/loss_balance_term,val/loss_entropy_term,val/loss_sde,val/mean_pi_var,val/pi_mean_e0,val/pi_mean_e1,val/pi_mean_e2,val/pi_min_mean,val/pi_var_e0,val/pi_var_e1,val/pi_var_e2,val/rmse_next
8,53,,,,,,,,,,,,,,,,,,,,,,0.05330309644341469,0.003815889125689864,0.10000000149011612,-7.944242000579834,0.0,0.01411961019039154,-7.930122375488281,3.563889185898006e-05,0.015586850233376026,0.011414797976613045,0.9729982614517212,0.011414797976613045,2.3468974177376367e-05,1.2871054423158057e-05,7.057664333842695e-05,0.050929564982652664
8,53,0.0,0.0,0.047759927809238434,0.004033069126307964,,0.0,,0.012213812209665775,,-7.929862976074219,-7.917649269104004,,,2.0650824808399193e-05,0.01293711457401514,0.009596871212124825,0.9774659872055054,0.009596871212124825,1.3545053661800921e-05,7.513810487580486e-06,4.089361391379498e-05,,,,,,,,,,,,,,,,
9,59,,,,,,,,,,,,,,,,,,,,,,0.0505540631711483,0.003197583369910717,0.10000000149011612,-7.946359634399414,0.0,0.01300765573978424,-7.933351993560791,3.266610292484984e-05,0.013801458291709423,0.010607041418552399,0.9755914807319641,0.010607041418552399,2.0834706447203644e-05,1.237454307556618e-05,6.478905561380088e-05,0.05088699609041214
9,59,0.0,0.0,0.055094894021749496,0.0038487722631543875,,0.0,,0.014737219549715519,,-7.908768653869629,-7.894031524658203,,,4.190968320472166e-05,0.016510270535945892,0.012002834118902683,0.9714868664741516,0.012002834118902683,2.792842497001402e-05,1.4865449884382542e-05,8.29351702122949e-05,,,,,,,,,,,,,,,,
10,65,,,,,,,,,,,,,,,,,,,,,,0.04850966855883598,0.0032033449970185757,0.10000000149011612,-7.959832668304443,0.0,0.012271923944354057,-7.9475603103637695,3.106200892943889e-05,0.012707908637821674,0.010025719180703163,0.9772663116455078,0.010025719180703163,1.934932697622571e-05,1.217506724060513e-05,6.166163802845404e-05,0.05083446577191353
10,65,0.0,0.0,0.048350367695093155,0.0033101628068834543,,0.0,,0.012244964949786663,,-7.969182968139648,-7.956938743591309,,,2.7726684493245557e-05,0.012706995010375977,0.009945263154804707,0.9773476719856262,0.009945263154804707,1.7535130609758198e-05,1.0643317182257306e-05,5.500161205418408e-05,,,,,,,,,,,,,,,,
11,71,,,,,,,,,,,,,,,,,,,,,,0.051158592104911804,0.0030950161162763834,0.10000000149011612,-8.019737243652344,0.0,0.013258936814963818,-8.006478309631348,4.416691808728501e-05,0.014331532642245293,0.010749326087534428,0.9749191403388977,0.010749326087534428,2.8599761208170094e-05,1.6353260434698313e-05,8.754773443797603e-05,0.05085739493370056
11,71,0.0,0.0,0.048594292253255844,0.003348845522850752,,0.0,,0.01234794408082962,,-7.992911338806152,-7.980563640594482,,,3.240024307160638e-05,0.012939839623868465,0.00998371560126543,0.9770764112472534,0.00998371560126543,2.0715096979984082e-05,1.2237260307301767e-05,6.424836465157568e-05,,,,,,,,,,,,,,,,
12,77,,,,,,,,,,,,,,,,,,,,,,0.05055577680468559,0.002759158844128251,0.10000000149011612,-8.040767669677734,0.0,0.013073730282485485,-8.027694702148438,4.835858999285847e-05,0.014147885143756866,0.010550192557275295,0.9753018617630005,0.010550192557275295,3.1111285352380946e-05,1.8100650777341798e-05,9.586383384885266e-05,0.0508539043366909
12,77,0.0,0.0,0.052842359989881516,0.003034595400094986,,0.0,,0.013925847597420216,,-8.000341415405273,-7.986414909362793,,,5.347039405023679e-05,0.015360544435679913,0.011333715170621872,0.9733057022094727,0.011333715170621872,3.498565638437867e-05,1.9494669686537236e-05,0.00010593086335575208,,,,,,,,,,,,,,,,
