epoch,step,train/corr_offdiag_abs_max,train/corr_offdiag_abs_mean,train/diffusion,train/drift_abs,train/entropy_beta,train/loss_balance_term_epoch,train/loss_balance_term_step,train/loss_entropy_term_epoch,train/loss_entropy_term_step,train/loss_epoch,train/loss_sde_epoch,train/loss_sde_step,train/loss_step,train/mean_pi_var,train/pi_mean_e0,train/pi_mean_e1,train/pi_mean_e2,train/pi_min_mean,train/pi_var_e0,train/pi_var_e1,train/pi_var_e2,val/diffusion,val/drift_abs,val/entropy_beta,val/loss,val/loss_balance_term,val/loss_entropy_term,val/loss_sde,val/mean_pi_var,val/pi_mean_e0,val/pi_mean_e1,val/pi_mean_e2,val/pi_min_mean,val/pi_var_e0,val/pi_var_e1,val/pi_var_e2,val/rmse_next
0,5,,,,,,,,,,,,,,,,,,,,,,0.18861186504364014,0.05770934373140335,0.10000000149011612,-3.3745903968811035,0.0,0.05640621855854988,-3.3181843757629395,0.0031506253872066736,0.09833326935768127,0.07799632102251053,0.8236703872680664,0.07799632102251053,0.002967734821140766,0.0007074055611155927,0.0057767354883253574,0.0957087054848671
0,5,0.24427902698516846,0.08219089359045029,0.3686857521533966,0.1855746954679489,,0.0,,0.09088381379842758,,0.2501427233219147,0.3410264551639557,,,0.01067303866147995,0.2261488288640976,0.234427809715271,0.539423406124115,0.20685945451259613,0.008516884408891201,0.0029718901496380568,0.02053034119307995,,,,,,,,,,,,,,,,
1,11,,,,,,,,,,,,,,,,,,,,,,0.06233663111925125,0.00916640367358923,0.10000000149011612,-7.793503284454346,0.0,0.017063776031136513,-7.776439189910889,3.6591234675142914e-05,0.015943627804517746,0.018087511882185936,0.965968906879425,0.015943627804517746,2.4905119062168524e-05,2.407543797744438e-05,6.0793150623794645e-05,0.05261148512363434
1,11,0.2510692775249481,0.08559656888246536,0.12089879810810089,0.029377251863479614,,0.0,,0.035381514579057693,,-5.4689178466796875,-5.433536052703857,,,0.0008955049561336637,0.049834828823804855,0.04350496456027031,0.9066601395606995,0.042944103479385376,0.0008910947944968939,0.0002030407340498641,0.0015923792961984873,,,,,,,,,,,,,,,,
2,17,,,,,,,,,,,,,,,,,,,,,,0.046012137085199356,0.0059011285193264484,0.10000000149011612,-8.07951831817627,0.0,0.012395951896905899,-8.067121505737305,8.77570164448116e-06,0.010336997918784618,0.012458103708922863,0.9772049188613892,0.010336997918784618,5.141842848388478e-06,5.302054887579288e-06,1.588320628798101e-05,0.05125811696052551
2,17,0.2524973750114441,0.08658115565776825,0.04791528731584549,0.006299590226262808,,0.0,,0.012606333009898663,,-7.348056316375732,-7.335450649261475,,,1.2058411812176928e-05,0.011063768528401852,0.012341965921223164,0.9765942096710205,0.011063768528401852,8.922947017708793e-06,7.322141300392104e-06,1.9930150301661342e-05,,,,,,,,,,,,,,,,
3,23,,,,,,,,,,,,,,,,,,,,,,0.06027631089091301,0.007657085079699755,0.10000000149011612,-7.788106918334961,0.0,0.017566123977303505,-7.770541191101074,5.425174458650872e-05,0.015927117317914963,0.01945638097822666,0.9646165370941162,0.015927117317914963,2.038900311163161e-05,3.61777565558441e-05,0.00010618849046295509,0.05167943984270096
3,23,0.2506122887134552,0.08627622574567795,0.0554589107632637,0.007540720980614424,,0.0,,0.01592225581407547,,-7.701986312866211,-7.68606424331665,,,3.6249388358555734e-05,0.013738838955760002,0.01763460971415043,0.9686265587806702,0.013738838955760002,1.3947787920187693e-05,2.4822717023198493e-05,6.997767195571214e-05,,,,,,,,,,,,,,,,
4,29,,,,,,,,,,,,,,,,,,,,,,0.045218758285045624,0.004613164812326431,0.10000000149011612,-7.820295810699463,0.0,0.01188240572810173,-7.808413982391357,1.8718443243415095e-05,0.011287068948149681,0.010446476750075817,0.9782664775848389,0.010446476750075817,1.003859597403789e-05,8.915398211684078e-06,3.720133827300742e-05,0.051025331020355225
4,29,0.24931401014328003,0.08624424785375595,0.05346157029271126,0.006573917344212532,,0.0,,0.01497974805533886,,-7.89185094833374,-7.876871109008789,,,3.5869175917468965e-05,0.013951542787253857,0.0150765934959054,0.9709718227386475,0.013837341219186783,1.6031879567890428e-05,2.073437826766167e-05,7.08412699168548e-05,,,,,,,,,,,,,,,,
