epoch,step,train/corr_offdiag_abs_max,train/corr_offdiag_abs_mean,train/diffusion,train/drift_abs,train/entropy_beta,train/loss_balance_term_epoch,train/loss_balance_term_step,train/loss_entropy_term_epoch,train/loss_entropy_term_step,train/loss_epoch,train/loss_sde_epoch,train/loss_sde_step,train/loss_step,train/mean_pi_var,train/pi_mean_e0,train/pi_mean_e1,train/pi_mean_e2,train/pi_min_mean,train/pi_var_e0,train/pi_var_e1,train/pi_var_e2,val/diffusion,val/drift_abs,val/entropy_beta,val/loss,val/loss_balance_term,val/loss_entropy_term,val/loss_sde,val/mean_pi_var,val/pi_mean_e0,val/pi_mean_e1,val/pi_mean_e2,val/pi_min_mean,val/pi_var_e0,val/pi_var_e1,val/pi_var_e2,val/rmse_next
0,6,,,,,,,,,,,,,,,,,,,,,,0.2021259069442749,0.09212702512741089,0.10000000149011612,-3.222116708755493,0.0,0.07333984225988388,-3.1487767696380615,0.0023511757608503103,0.08403750509023666,0.18210288882255554,0.733859658241272,0.08403750509023666,0.00046829358325339854,0.0021173027344048023,0.004467931110411882,0.11649307608604431
0,6,0.8916164636611938,0.6351397037506104,0.308657169342041,0.24369847774505615,,0.0,,0.09550448507070541,,0.023248979821801186,0.11875353008508682,,,0.009016725234687328,0.17973951995372772,0.36867815256118774,0.45158228278160095,0.17033973336219788,0.0027297709602862597,0.007728537078946829,0.016591869294643402,,,,,,,,,,,,,,,,
1,13,,,,,,,,,,,,,,,,,,,,,,0.056833796203136444,0.010839474387466908,0.10000000149011612,-9.21551513671875,0.0,0.022202003747224808,-9.193313598632812,6.593327998416498e-05,0.023121248930692673,0.024257471784949303,0.9526212811470032,0.023121248930692673,3.383112562005408e-05,3.393746374058537e-05,0.0001300312578678131,0.0445450097322464
1,13,0.8943653106689453,0.6398768424987793,0.1309511512517929,0.04657021164894104,,0.0,,0.05083523318171501,,-5.716821193695068,-5.665986061096191,,,0.0010005304357036948,0.05660335347056389,0.0972609892487526,0.846135675907135,0.05660335347056389,0.00025973693118430674,0.000820908579044044,0.001920945942401886,,,,,,,,,,,,,,,,
2,20,,,,,,,,,,,,,,,,,,,,,,0.018382472917437553,0.0021597249433398247,0.10000000149011612,-9.331222534179688,0.0,0.00564387533813715,-9.325579643249512,1.5740174603706691e-06,0.004591668955981731,0.004225654061883688,0.9911826252937317,0.004225654061883688,1.0200118367720279e-06,6.3707091157994e-07,3.0649696327600395e-06,0.04091718792915344
2,20,0.8978522419929504,0.6445704698562622,0.037831444293260574,0.006360221654176712,,0.0,,0.014009115286171436,,-11.073668479919434,-11.059659004211426,,,3.297123112133704e-05,0.013562243431806564,0.013650505803525448,0.9727872014045715,0.013400276191532612,1.6965646864264272e-05,1.6703233995940536e-05,6.524481432279572e-05,,,,,,,,,,,,,,,,
3,27,,,,,,,,,,,,,,,,,,,,,,0.018864255398511887,0.0017764349468052387,0.10000000149011612,-9.77660083770752,0.0,0.005532839335501194,-9.77106761932373,9.716139857118833e-07,0.004173626191914082,0.004428118001669645,0.991398274898529,0.004173626191914082,5.148655191078433e-07,4.975026968168095e-07,1.9024738548978348e-06,0.040867459028959274
3,27,0.8979551792144775,0.6450637578964233,0.01733904890716076,0.002074724994599819,,0.0,,0.005107221659272909,,-11.494009971618652,-11.488903045654297,,,3.033105031136074e-06,0.004047008231282234,0.003825019346550107,0.9921279549598694,0.003816929180175066,1.7481454506196314e-06,1.3361191122385208e-06,6.015050075802719e-06,,,,,,,,,,,,,,,,
4,34,,,,,,,,,,,,,,,,,,,,,,0.02653060108423233,0.0030296645127236843,0.10000000149011612,-10.91712474822998,0.0,0.008437307551503181,-10.90868854522705,2.965742623928236e-06,0.006403964478522539,0.007855144329369068,0.9857408404350281,0.006403964478522539,1.0655134019543766e-06,2.0416846382431686e-06,5.790028808405623e-06,0.04103582352399826
4,34,0.8971801400184631,0.6442423462867737,0.023062659427523613,0.002593575045466423,,0.0,,0.007159098982810974,,-11.948663711547852,-11.941505432128906,,,4.051914856972871e-06,0.005455599166452885,0.006307195872068405,0.988237202167511,0.005455599166452885,1.7368341787005193e-06,2.417195219095447e-06,8.001713467820082e-06,,,,,,,,,,,,,,,,
5,41,,,,,,,,,,,,,,,,,,,,,,0.021130019798874855,0.002714356640353799,0.10000000149011612,-10.374967575073242,0.0,0.0060667917132377625,-10.368900299072266,6.92916671596322e-07,0.004607661627233028,0.004981243517249823,0.9904110431671143,0.004607661627233028,6.077400485082762e-07,2.0905559949824237e-07,1.2619543667824473e-06,0.04092090576887131
5,41,0.8975135087966919,0.6446420550346375,0.024790091440081596,0.0029445120599120855,,0.0,,0.00761046027764678,,-11.966282844543457,-11.958672523498535,,,3.5498064789862838e-06,0.005830927286297083,0.006796628702431917,0.9873724579811096,0.005830927286297083,1.8018700984612224e-06,1.8724960000326973e-06,6.975053565838607e-06,,,,,,,,,,,,,,,,
6,48,,,,,,,,,,,,,,,,,,,,,,0.021587437018752098,0.0021972598042339087,0.10000000149011612,-10.427833557128906,0.0,0.006071839015930891,-10.421762466430664,9.187384648612351e-07,0.004696669988334179,0.004907081834971905,0.9903963208198547,0.004696669988334179,1.0880993386308546e-06,1.7068150270915794e-07,1.497434595876257e-06,0.040938008576631546
6,48,0.897578239440918,0.6445496082305908,0.02108512632548809,0.00320525118149817,,0.0,,0.005980458110570908,,-12.080984115600586,-12.075003623962402,,,1.8396370933260187e-06,0.004665934480726719,0.004782048054039478,0.9905519485473633,0.004658576566725969,1.7629350850256742e-06,3.656070930446731e-07,3.3903691019077087e-06,,,,,,,,,,,,,,,,
7,49,,,,,0.10000000149011612,,0.0,,0.006193216424435377,,,-12.531049728393555,-12.537242889404297,,,,,,,,,,,,,,,,,,,,,,,,
7,55,,,,,,,,,,,,,,,,,,,,,,0.024378733709454536,0.0020683188922703266,0.10000000149011612,-10.77013111114502,0.0,0.006987174041569233,-10.763142585754395,1.6706218275430729e-06,0.0054415748454630375,0.005922688636928797,0.9886358380317688,0.0054415748454630375,1.9799590518232435e-06,4.1295942310171085e-07,2.618947064547683e-06,0.04108709841966629
7,55,0.8976103663444519,0.644340991973877,0.024159980937838554,0.0022828455548733473,,0.0,,0.0069289859384298325,,-12.079581260681152,-12.072650909423828,,,3.239275656596874e-06,0.005621916148811579,0.005663954187184572,0.9887141585350037,0.0055471742525696754,4.024253030365799e-06,3.9571793308823544e-07,5.297854841046501e-06,,,,,,,,,,,,,,,,
8,62,,,,,,,,,,,,,,,,,,,,,,0.020753182470798492,0.0025690437760204077,0.10000000149011612,-10.120190620422363,0.0,0.005714155733585358,-10.114476203918457,1.5859384348004824e-06,0.004170337226241827,0.0047808256931602955,0.9910488128662109,0.004170337226241827,1.4422175809158944e-06,4.244063802616438e-07,2.891191343223909e-06,0.0410311184823513
8,62,0.8981562852859497,0.6450432538986206,0.022937670350074768,0.0025471877306699753,,0.0,,0.006495727691799402,,-12.110248565673828,-12.103754043579102,,,4.031152002426097e-06,0.0051586520858109,0.005305847153067589,0.9895355105400085,0.005134986713528633,4.422227902978193e-06,5.730036605200439e-07,7.098224614310311e-06,,,,,,,,,,,,,,,,
9,69,,,,,,,,,,,,,,,,,,,,,,0.023349525406956673,0.001941920374520123,0.10000000149011612,-10.691174507141113,0.0,0.006529125850647688,-10.684645652770996,2.3445040824299213e-06,0.004405783023685217,0.0061097415164113045,0.9894844889640808,0.004405783023685217,1.917475628943066e-06,7.775954031785659e-07,4.338440703577362e-06,0.041019365191459656
9,69,0.8979462385177612,0.6448949575424194,0.023248985409736633,0.0021834680810570717,,0.0,,0.0065613710321486,,-12.174552917480469,-12.167991638183594,,,5.598402367468225e-06,0.004826066084206104,0.00578670809045434,0.9893872141838074,0.004826066084206104,4.937328412779607e-06,1.2917686262881034e-06,1.0566110177023802e-05,,,,,,,,,,,,,,,,
10,76,,,,,,,,,,,,,,,,,,,,,,0.02061631716787815,0.0017620384460315108,0.10000000149011612,-10.151381492614746,0.0,0.005574736278504133,-10.145807266235352,2.37155586546578e-06,0.003662404138594866,0.0050635868683457375,0.9912739396095276,0.003662404138594866,1.7466969666202203e-06,9.508080438536126e-07,4.41716292698402e-06,0.04095203056931496
10,76,0.89837247133255,0.645691990852356,0.023444492369890213,0.0019187118159607053,,0.0,,0.0065867481753230095,,-12.242793083190918,-12.2362060546875,,,6.9143993641773704e-06,0.004615506157279015,0.006074368953704834,0.989310085773468,0.004615506157279015,5.884409347345354e-06,1.752015009515162e-06,1.3106772712490056e-05,,,,,,,,,,,,,,,,
11,83,,,,,,,,,,,,,,,,,,,,,,0.02060980349779129,0.0018475382821634412,0.10000000149011612,-10.045106887817383,0.0,0.005511531140655279,-10.039595603942871,2.6605598577589262e-06,0.0034635283518582582,0.005166162271052599,0.9913703203201294,0.0034635283518582582,1.4609364598072716e-06,1.6710549743947922e-06,4.849687229580013e-06,0.04099303111433983
11,83,0.8987723588943481,0.6460806131362915,0.02145165577530861,0.0018298912327736616,,0.0,,0.005877872463315725,,-12.300454139709473,-12.294576644897461,,,6.7202295213064644e-06,0.004028297029435635,0.00532655930146575,0.9906451106071472,0.004028297029435635,5.3730332183477e-06,2.0188524558761856e-06,1.2768804481311236e-05,,,,,,,,,,,,,,,,
12,90,,,,,,,,,,,,,,,,,,,,,,0.020714132115244865,0.0031007935758680105,0.10000000149011612,-9.951403617858887,0.0,0.0055427271872758865,-9.945860862731934,3.576973085728241e-06,0.0032698935829102993,0.005454961210489273,0.9912751317024231,0.0032698935829102993,1.5629190102117718e-06,2.681083969946485e-06,6.4869154812186025e-06,0.04096635431051254
12,90,0.8990347385406494,0.6465012431144714,0.021396003663539886,0.002625060733407736,,0.0,,0.005823210347443819,,-12.351319313049316,-12.34549617767334,,,6.855791980342474e-06,0.003795949276536703,0.005477248691022396,0.9907268285751343,0.003795949276536703,5.028354280511849e-06,2.618226744743879e-06,1.2920793778903317e-05,,,,,,,,,,,,,,,,
13,97,,,,,,,,,,,,,,,,,,,,,,0.020759688690304756,0.0021619063336402178,0.10000000149011612,-9.777234077453613,0.0,0.005594057496637106,-9.771639823913574,4.87106717628194e-06,0.0031652634497731924,0.005693188402801752,0.9911414980888367,0.0031652634497731924,1.7886798104882473e-06,3.899837338394718e-06,8.92468415258918e-06,0.040983397513628006
